"","errors","errors","errors"
"SICA",0.000557860822138724,0.0266750220690433,0.0171381779025851
"DefectosTotales",0.0322795671288551,0.292699174444699,0.0629431756463526
"ASNM",0.00232345100149715,0.000591320044005356,0.000865741039486935
"Luminosidad",0.000850738137745623,0.000308386336985396,0
"prec1",0.000393781038084962,0,5.5212117037048e-05
"prec3",0.000515463686431667,0.0117204986517175,8.17332624309017e-05
"prec4",0.561763280727824,0.0869314689250374,1.21513330801432
"prec7",0.0224925575180608,8.34711550773694e-06,0.00124679293328868
"prec8",0.0011698365212317,0.00530565184326123,0.0181822673398645
"dtr3",0.00289842812795037,0.0119361764894552,0.00504581047569274
"OrientationNum",0.984653038338576,0.0319502745303871,0.378208070873353
"Slope",0.0881589984546247,0.00125923871364576,7.67129200142043e-05
"pH_avg",0.00427331373182691,0.000196754256581261,0.022962225774924
"org_avg",0.00118310484790575,8.34505037549031e-05,1.94454110572538e-06
"Arcilloso",0,0.000190030337095026,1.54060183239826e-05
"Limoso",2.04601204556217e-06,0.000983552839336506,0.00221256148837493
"Arenoso",0.00136040336921716,0.000264018549804978,0.000631484016269211
"Cascajoso",0.00144523995065691,0.00236081398702405,0.00646077368027958
